Monsieur,Laroche,Marouane,Livreur,-28.153777,109.077926
Monsieur,Gomes,Celian,Preparateur de Commande,-6.534451,-69.37709
Madame,Longpré,Mya,Livreur,30.419672,-2.637942
Madame,Georges,Thalia,Preparateur de Commande,50.829562,146.645792
Monsieur,Trahan,Ewan,Livreur,28.535816,-21.834569
Monsieur,Begue,Charly,Preparateur de Commande,-18.982704,-150.115472
Madame,Brouillette,Lilia,Livreur,25.211562,2.987805
Madame,Duquesne,Meriem,Livreur,79.496307,76.425708
Monsieur,Delahaye,Sofiane,Preparateur de Commande,-53.770533,-146.744368
Madame,Duhamel,Syrine,Preparateur de Commande,79.809012,-134.527042
